partido,localidad,subestacion,usuarios
CAPITAL FEDERAL,RETIRO,25-CHARCAS / R:025-2-27 / 025-2-27,80
LANUS,LANUS ESTE,75-CORINA / R:075-2-23 / 075-2-23,147
