,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
49,ENTRE RIOS,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),367427,0.5463
50,ENTRE RIOS,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),137351,0.20420000000000002
51,ENTRE RIOS,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),97285,0.1446
52,ENTRE RIOS,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),29360,0.0437
53,ENTRE RIOS,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),27394,0.0407
54,ENTRE RIOS,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),6966,0.0104
55,ENTRE RIOS,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),6786,0.0101
56,FORMOSA,FERNANDEZ DE KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),201036,0.7927
57,FORMOSA,ALFONSIN - GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),37189,0.1466
58,FORMOSA,BINNER - MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),6572,0.0259
59,FORMOSA,DUHALDE - DAS NEVES (ALIANZA FRENTE POPULAR),4606,0.0182
60,FORMOSA,RODRIGUEZ SAA - VERNET (ALIANZA COMPROMISO FEDERAL),2096,0.0083
61,FORMOSA,ALTAMIRA - CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),1081,0.0043
62,FORMOSA,CARRIO - PEREZ (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA    IGUALITARIA),1029,0.0040999999999999995
63,JUJUY,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),207286,0.6443000000000001
64,JUJUY,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),60623,0.1884
65,JUJUY,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),25948,0.08070000000000001
66,JUJUY,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),11538,0.0359
67,JUJUY,ALTAMIRA-    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),6408,0.0199
68,JUJUY,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),6236,0.0194
69,JUJUY,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),3682,0.011399999999999999
70,LA PAMPA,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),104905,0.5827
71,LA PAMPA,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),24468,0.1359
72,LA PAMPA,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),23969,0.1331
73,LA PAMPA,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),15363,0.08529999999999999
74,LA PAMPA,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),6867,0.0381
75,LA PAMPA,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),2232,0.0124
76,LA PAMPA,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),2223,0.0123
77,LA RIOJA,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),77953,0.5128
78,LA RIOJA,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),31686,0.2084
79,LA RIOJA,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),26514,0.1744
80,LA RIOJA,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),9129,0.0601
81,LA RIOJA,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),3089,0.0203
82,LA RIOJA,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),2269,0.0149
83,LA RIOJA,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),1379,0.0091
84,MENDOZA,FERNANDEZ DE KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),449680,0.5112
85,MENDOZA,RODRIGUEZ SAA - VERNET (ALIANZA COMPROMISO FEDERAL),179067,0.2036
86,MENDOZA,BINNER - MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),107710,0.12240000000000001
87,MENDOZA,ALFONSIN - GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),96936,0.11019999999999999
88,MENDOZA,CARRIO - PEREZ (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA    IGUALITARIA),18342,0.0209
89,MENDOZA,DUHALDE - DAS NEVES (ALIANZA FRENTE POPULAR),14563,0.0166
90,MENDOZA,ALMARIRA - CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),13363,0.0152
91,MISIONES,FERNANDEZ DE KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),366727,0.6708
92,MISIONES,ALFONSIN - GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),75077,0.1373
93,MISIONES,DUHALDE - DAS NEVES (ALIANZA FRENTE POPULAR),44177,0.0808
94,MISIONES,BINNER - MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),31156,0.057
95,MISIONES,RODRIGUEZ SAA - VERNET (ALIANZA COMPROMISO FEDERAL),16917,0.030899999999999997
96,MISIONES,CARRIO - PEREZ (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA    IGUALITARIA),7105,0.013000000000000001
97,MISIONES,ALTAMIRA - CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),5512,0.0101
98,NEUQUEN,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),193014,0.6113000000000001
99,NEUQUEN,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),45273,0.1434
100,NEUQUEN,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),29336,0.0929
101,NEUQUEN,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),20240,0.0641
102,NEUQUEN,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),11408,0.0361
103,NEUQUEN,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),10224,0.032400000000000005
104,NEUQUEN,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),6240,0.019799999999999998
105,RIO NEGRO,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),225805,0.6807
106,RIO NEGRO,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),39876,0.1202
107,RIO NEGRO,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),30790,0.0928
108,RIO NEGRO,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),13261,0.04
109,RIO NEGRO,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),9791,0.029500000000000002
110,RIO NEGRO,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),6765,0.0204
111,RIO NEGRO,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),5446,0.016399999999999998
112,SALTA,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),395548,0.6455
113,SALTA,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),89383,0.1459
114,SALTA,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),50916,0.08310000000000001
115,SALTA,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),25479,0.0416
116,SALTA,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),22267,0.0363
117,SALTA,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),19970,0.0326
118,SALTA,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),9227,0.0151
119,SAN JUAN,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),222118,0.6541
120,SAN JUAN,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),57968,0.1707
121,SAN JUAN,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),24225,0.0713
122,SAN JUAN,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),21140,0.0622
123,SAN JUAN,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),7500,0.022099999999999998
124,SAN JUAN,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),3624,0.010700000000000001
125,SAN JUAN,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),3028,0.0089
126,SAN LUIS,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),120924,0.515
127,SAN LUIS,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),73812,0.3143
128,SAN LUIS,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),21349,0.0909
129,SAN LUIS,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),12005,0.051100000000000007
130,SAN LUIS,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),2349,0.01
131,SAN LUIS,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),2294,0.0098
132,SAN LUIS,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),2087,0.0089
133,SANTA CRUZ,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),107540,0.7487999999999999
134,SANTA CRUZ,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),17028,0.1186
135,SANTA CRUZ,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),10543,0.07339999999999999
136,SANTA CRUZ,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),2457,0.0171
137,SANTA CRUZ,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),2161,0.015
138,SANTA CRUZ,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),2070,0.0144
139,SANTA CRUZ,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),1831,0.0127
140,SANTA FE,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),758721,0.41960000000000003
141,SANTA FE,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),707088,0.391
142,SANTA FE,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),103221,0.0571
143,SANTA FE,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),91233,0.050499999999999996
144,SANTA FE,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),86760,0.048
145,SANTA FE,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),31107,0.0172
146,SANTA FE,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),30218,0.0167
147,SANTIAGO DEL ESTERO,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),338482,0.8210999999999999
148,SANTIAGO DEL ESTERO,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),29197,0.0708
149,SANTIAGO DEL ESTERO,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),16942,0.041100000000000005
150,SANTIAGO DEL ESTERO,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),13665,0.0332
151,SANTIAGO DEL ESTERO,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),6830,0.0166
152,SANTIAGO DEL ESTERO,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),4396,0.010700000000000001
153,SANTIAGO DEL ESTERO,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),2705,0.0066
154,TUCUMAN,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),526267,0.6518999999999999
155,TUCUMAN,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),107492,0.1331
156,TUCUMAN,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),87539,0.1084
157,TUCUMAN,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),39367,0.048799999999999996
158,TUCUMAN,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),23455,0.028999999999999998
159,TUCUMAN,ALTAMIRA -    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),15474,0.0192
160,TUCUMAN,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),7738,0.0096
