,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
143,SALTA,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),32075,0.0705
144,SALTA,ALTAMIRA -    RIEZNIK (OBRERO),5028,0.0111
145,SALTA,MENDEZ -    POMPEI (HUMANISTA),2457,0.0054
146,SALTA,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),1948,0.0043
147,SALTA,REYNA - MOCCIA (FRENTE DE LA RESISTENCIA),1033,0.0023
148,SAN JUAN,"DE LA RUA - ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA    EDUCACION - ALIANZA POR SAN JUAN)",172452,0.551
149,SAN JUAN,DUHALDE -    ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO),94007,0.3004
150,SAN JUAN,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),40853,0.1305
151,SAN JUAN,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA),1553,0.005
152,SAN JUAN,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),1187,0.0038
153,SAN JUAN,MENDEZ -    POMPEI (HUMANISTA),1078,0.0034000000000000002
154,SAN JUAN,MONTES -    HERNANDEZ (DE LOS TRABAJADORES SOCIALISTAS),684,0.0022
155,SAN JUAN,ALTAMIRA -    RIEZNIK (OBRERO),645,0.0021
156,SAN JUAN,REYNA - MOCCIA    (ALIANZA FRENTE DE LA RESISTENCIA),527,0.0017000000000000001
157,SAN LUIS,"DE LA RUA -    ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION)",102400,0.5759000000000001
158,SAN LUIS,DUHALDE -    ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO),54547,0.3068
159,SAN LUIS,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),16707,0.094
160,SAN LUIS,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),1192,0.0067
161,SAN LUIS,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA),910,0.0051
162,SAN LUIS,MENDEZ -    POMPEI (HUMANISTA),775,0.0044
163,SAN LUIS,ALTAMIRA -    RIEZNIK (OBRERO),738,0.0042
164,SAN LUIS,REYNA - MOCCIA    (ALIANZA FRENTE DE LA RESISTENCIA),540,0.003
165,SANTA CRUZ,"DE LA RUA -    ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION)",42629,0.4797
166,SANTA CRUZ,DUHALDE -    ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO),36538,0.4111
167,SANTA CRUZ,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),7845,0.0883
168,SANTA CRUZ,ALTAMIRA -    RIEZNIK (OBRERO),671,0.0075
169,SANTA CRUZ,MENDEZ -    POMPEI (HUMANISTA),451,0.0051
170,SANTA CRUZ,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA),379,0.0043
171,SANTA CRUZ,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),216,0.0024
172,SANTA CRUZ,REYNA - MOCCIA    (ALIANZA FRENTE DE LA RESISTENCIA),150,0.0017000000000000001
173,SANTA FE,"DE LA RUA -    ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION - DEMOCRATA    PROGRESISTA)",901300,0.5323
174,SANTA FE,DUHALDE -    ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO - CONSERVADOR    POPULAR),536184,0.3166
175,SANTA FE,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA - UNION DEL CENTRO DEMOCRATICO),205869,0.1216
