,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
0,CAPITAL FEDERAL,CARRIO - GIUSTINIANI (ALIANZA CONFEDERACION COALICION CIVICA),708323,0.3778
1,CAPITAL FEDERAL,FERNANDEZ DE KIRCHNER - COBOS (ALIANZA FRENTE PARA LA VICTORIA),445936,0.2377
2,CAPITAL FEDERAL,LAVAGNA - MORALES (ALIANZA CONCERTACION PARA UNA NACION    AVANZADA),344896,0.184
3,CAPITAL FEDERAL,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",155886,0.0832
4,CAPITAL FEDERAL,SOLANAS - CADELLI (SOCIALISTA AUTENTICO),75866,0.0404
5,CAPITAL FEDERAL,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),74233,0.0395
6,CAPITAL FEDERAL,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),26434,0.0141
7,CAPITAL FEDERAL,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - MOVIMIENTO POR LA DIGNIDAD Y    LA INDEPENDENCIA),14828,0.0079
8,CAPITAL FEDERAL,PITROLA - ARROYOS (OBRERO),10457,0.005600000000000001
9,CAPITAL FEDERAL,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),5598,0.003
10,CAPITAL FEDERAL,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),4428,0.0024
11,CAPITAL FEDERAL,CASTELLS - PELOZO (MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y    DESOCUPADOS),3515,0.0019
12,CAPITAL FEDERAL,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),3311,0.0018
13,CAPITAL FEDERAL,MUSSA -    NESPRAL (CONFEDERACION LEALTAD POPULAR),1508,0.0008
14,BUENOS AIRES,LAVAGNA - MORALES (ALIANZA CONCERTACION PARA UNA NACION    AVANZADA),978320,0.1368
15,BUENOS AIRES,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",455924,0.0638
16,BUENOS AIRES,SOLANAS - CADELLI (SOCIALISTA AUTENTICO),126009,0.0176
17,BUENOS AIRES,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),109394,0.015300000000000001
18,BUENOS AIRES,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - MOVIMIENTO POR LA DIGNIDAD Y LA    INDEPENDENCIA),92389,0.0129
19,BUENOS AIRES,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),70260,0.0098
20,BUENOS AIRES,PITROLA - ARROYOS (OBRERO),55901,0.0078000000000000005
21,BUENOS AIRES,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),41528,0.0058
22,BUENOS AIRES,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),25137,0.0034999999999999996
23,BUENOS AIRES,CASTELLS - PELOZO (MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y    DESOCUPADOS),26398,0.0037
24,BUENOS AIRES,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),15930,0.0022
25,BUENOS AIRES,MUSSA - NESPRAL (CONFEDERACION LEALTAD POPULAR),8014,0.0011
26,CATAMARCA,CARRIO - GIUSTINIANI (ALIANZA CONFEDERACION COALICION CIVICA),16380,0.10800000000000001
27,CATAMARCA,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",16225,0.107
28,CATAMARCA,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),1936,0.0128
29,CATAMARCA,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - MOVIMIENTO POR LA DIGNIDAD Y LA    INDEPENDENCIA),1178,0.0077
30,CATAMARCA,PITROLA - ARROYOS (OBRERO),1052,0.0069
31,CATAMARCA,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),857,0.005699999999999999
32,CATAMARCA,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),781,0.0052
33,CATAMARCA,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),599,0.004
34,CATAMARCA,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),532,0.0034999999999999996
35,CATAMARCA,CASTELLS - PELOZO (MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y    DESOCUPADOS),38,0.0002
36,CATAMARCA,MUSSA - NESPRAL (CONFEDERACION LEALTAD POPULAR),19,0.0001
37,CHACO,LAVAGNA - MORALES (ALIANZA CONCERTACION PARA UNA NACION    AVANZADA),107527,0.21760000000000002
38,CHACO,CARRIO - GIUSTINIANI (ALIANZA CONFEDERACION COALICION CIVICA),104796,0.2121
39,CHACO,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",19938,0.0403
40,CHACO,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - MOVIMIENTO POR LA DIGNIDAD Y LA    INDEPENDENCIA),3203,0.006500000000000001
41,CHACO,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),2672,0.0054
42,CHACO,PITROLA - ARROYOS (OBRERO),2194,0.0044
43,CHACO,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),2097,0.0042
44,CHACO,CASTELLS - PELOZO (MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y    DESOCUPADOS),1852,0.0037
45,CHACO,SOLANAS - CADELLI (SOCIALISTA AUTENTICO),1512,0.0031
46,CHACO,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),1310,0.0027
47,CHACO,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),1244,0.0025
48,CHACO,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),1023,0.0021
49,CHACO,MUSSA - NESPRAL (CONFEDERACION LEALTAD POPULAR),50,0.0001
50,CHUBUT,CARRIO - GIUSTINIANI (ALIANZA CONFEDERACION COALICION CIVICA),42896,0.1812
51,CHUBUT,LAVAGNA - MORALES (ALIANZA CONCERTACION PARA UNA NACION    AVANZADA),22923,0.0968
52,CHUBUT,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",3957,0.0167
53,CHUBUT,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - MOVIMIENTO POR LA DIGNIDAD Y LA    INDEPENDENCIA),2353,0.009899999999999999
54,CHUBUT,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),2107,0.0089
55,CHUBUT,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),2081,0.0088
56,CHUBUT,PITROLA - ARROYOS (OBRERO),1409,0.006
57,CHUBUT,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),932,0.0039000000000000003
58,CHUBUT,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),494,0.0021
59,CHUBUT,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),449,0.0019
60,CHUBUT,SOLANAS - CADELLI (SOCIALISTA AUTENTICO),177,0.0007000000000000001
61,CHUBUT,CASTELLS - PELOZO (MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y    DESOCUPADOS),23,0.0001
62,CHUBUT,MUSSA - NESPRAL (CONFEDERACION LEALTAD POPULAR),17,0.0001
63,CORDOBA,CARRIO - GIUSTINIANI (ALIANZA CONFEDERACION COALICION CIVICA),307738,0.19
64,CORDOBA,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",237896,0.1469
65,CORDOBA,SOLANAS - CADELLI (SOCIALISTA AUTENTICO),29985,0.018500000000000003
66,CORDOBA,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - MOVIMIENTO POR LA DIGNIDAD Y LA    INDEPENDENCIA),26872,0.0166
67,CORDOBA,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),13371,0.0083
68,CORDOBA,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),10143,0.0063
69,CORDOBA,CASTELLS - PELOZO (MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y    DESOCUPADOS),8407,0.0052
70,CORDOBA,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),7770,0.0048
71,CORDOBA,PITROLA - ARROYOS (OBRERO),7734,0.0048
72,CORDOBA,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),7032,0.0043
73,CORDOBA,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),4243,0.0026
74,CORDOBA,MUSSA - NESPRAL (CONFEDERACION LEALTAD POPULAR),324,0.0002
75,CORRIENTES,LAVAGNA - MORALES (ALIANZA CONCERTACION PARA UNA NACION    AVANZADA),63095,0.1465
76,CORRIENTES,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",21799,0.0506
77,CORRIENTES,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),2674,0.0062
78,CORRIENTES,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - MOVIMIENTO POR LA DIGNIDAD Y LA    INDEPENDENCIA),4162,0.0096
79,CORRIENTES,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),2038,0.004699999999999999
80,CORRIENTES,SOLANAS - CADELLI (SOCIALISTA AUTENTICO),925,0.0021
81,CORRIENTES,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),825,0.0019
82,CORRIENTES,PITROLA - ARROYOS (OBRERO),523,0.0012
83,CORRIENTES,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),499,0.0012
84,CORRIENTES,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),485,0.0011
85,CORRIENTES,CASTELLS - PELOZO (MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y    DESOCUPADOS),45,0.0001
86,CORRIENTES,MUSSA - NESPRAL (CONFEDERACION LEALTAD POPULAR),12,0.0
87,ENTRE RIOS,LAVAGNA - MORALES (ALIANZA CONCERTACION PARA UNA NACION    AVANZADA),113611,0.17559999999999998
88,ENTRE RIOS,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",67531,0.10439999999999999
89,ENTRE RIOS,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),10547,0.0163
90,ENTRE RIOS,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - UNION POPULAR),7012,0.0108
91,ENTRE RIOS,SOLANAS - CADELLI (SOCIALISTA AUTENTICO),6351,0.0098
92,ENTRE RIOS,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),6097,0.009399999999999999
93,ENTRE RIOS,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),4475,0.0069
94,ENTRE RIOS,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),4209,0.006500000000000001
95,ENTRE RIOS,PITROLA - ARROYOS (OBRERO),2630,0.0040999999999999995
96,ENTRE RIOS,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),2255,0.0034999999999999996
97,FORMOSA,CARRIO - GIUSTINIANI (ALIANZA CONFEDERACION COALICION CIVICA),17500,0.0797
98,FORMOSA,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",4058,0.018500000000000003
99,FORMOSA,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),576,0.0026
100,FORMOSA,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),461,0.0021
101,FORMOSA,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),379,0.0017000000000000001
102,FORMOSA,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),284,0.0013
103,FORMOSA,PITROLA - ARROYOS (OBRERO),273,0.0012
104,FORMOSA,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - MOVIMIENTO POR LA DIGNIDAD Y LA    INDEPENDENCIA),637,0.0029
105,FORMOSA,SOLANAS - CADELLI (SOCIALISTA AUTENTICO),209,0.001
106,FORMOSA,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),188,0.0009
107,FORMOSA,MUSSA - NESPRAL (CONFEDERACION LEALTAD POPULAR),85,0.0004
108,FORMOSA,CASTELLS - PELOZO (MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y    DESOCUPADOS),30,0.0001
109,JUJUY,CARRIO - GIUSTINIANI (ALIANZA CONFEDERACION COALICION CIVICA),16941,0.0621
110,JUJUY,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",5139,0.018799999999999997
111,JUJUY,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),2366,0.0087
112,JUJUY,SOBISCH - ASIS (EL MOVIMIENTO DE    LAS PROVINCIAS UNIDAS - UNION POPULAR - MOVIMIENTO DE ACCION VECINAL -    MOVIMIENTO POR LA DIGNIDAD Y LA INDEPENDENCIA),2085,0.0076
113,JUJUY,PITROLA - ARROYOS (OBRERO),1218,0.0045000000000000005
114,JUJUY,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),1208,0.0044
115,JUJUY,MONTES - HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES    SOCIALISTAS - MOVIMIENTO AL SOCIALISMO - IZQUIERDA SOCIALISTA),1023,0.0037
116,JUJUY,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),977,0.0036
117,JUJUY,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),850,0.0031
118,JUJUY,CASTELLS - PELOZO (MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y    DESOCUPADOS),10,0.0
119,JUJUY,MUSSA - NESPRAL (CONFEDERACION LEALTAD POPULAR),7,0.0
120,JUJUY,SOLANAS - CADELLI    (SOCIALISTA AUTENTICO),7,0.0
121,LA PAMPA,LAVAGNA - MORALES (ALIANZA CONCERTACION PARA UNA NACION    AVANZADA),21584,0.1361
122,LA PAMPA,"RODRIGUEZ SAA - MAYA (ALIANZA FRENTE JUSTICIA, UNION Y LIBERTAD)",19884,0.1253
123,LA PAMPA,LOPEZ MURPHY - BULLRICH (RECREAR PARA EL CRECIMIENTO),2014,0.0127
124,LA PAMPA,SOLANAS - CADELLI (SOCIALISTA AUTENTICO),2003,0.0126
125,LA PAMPA,AMMANN - DELEONARDI (ALIANZA FRENTE AMPLIO HACIA LA UNIDAD    LATINOAMERICANA),1603,0.0101
126,LA PAMPA,SOBISCH - ASIS (EL MOVIMIENTO DE LAS PROVINCIAS UNIDAS - UNION    POPULAR - MOVIMIENTO DE ACCION VECINAL - MOVIMIENTO POR LA DIGNIDAD Y LA    INDEPENDENCIA),1232,0.0078000000000000005
127,LA PAMPA,MONTES -    HEBERLING (ALIANZA FRENTE DE LOS TRABAJADORES SOCIALISTAS - MOVIMIENTO AL    SOCIALISMO - IZQUIERDA SOCIALISTA),731,0.0046
128,LA PAMPA,PITROLA - ARROYOS (OBRERO),491,0.0031
129,LA PAMPA,RIPOLL - BIDONDE (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),478,0.003
130,LA PAMPA,BREIDE OBEID - VERGARA (POPULAR DE LA RECONSTRUCCION),281,0.0018
